repo,module,dependency_repo,dependency_module,required_version,indirect,replace_target,dependency_in_tracker,dependency_state,dependency_batch,dependency_tracker_tag,dependency_release_url,dependency_latest_local_tag,source,scanned_at
ai-in-action-app,github.com/go-go-golems/ai-in-action-app,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
almanach,github.com/go-go-golems/almanach,glazed,github.com/go-go-golems/glazed,v1.2.7,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
almanach,github.com/go-go-golems/almanach,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
biberon,github.com/go-go-golems/biberon,glazed,github.com/go-go-golems/glazed,v0.3.4,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
bobatea,github.com/go-go-golems/bobatea,geppetto,github.com/go-go-golems/geppetto,v0.11.7,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
bobatea,github.com/go-go-golems/bobatea,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
bucheron,github.com/go-go-golems/bucheron,glazed,github.com/go-go-golems/glazed,v0.3.4,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
clay,github.com/go-go-golems/clay,glazed,github.com/go-go-golems/glazed,v1.3.0,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
clay,github.com/go-go-golems/clay,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
cliopatra,github.com/go-go-golems/cliopatra,clay,github.com/go-go-golems/clay,v0.1.6,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
cliopatra,github.com/go-go-golems/cliopatra,glazed,github.com/go-go-golems/glazed,v0.5.3,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
cliopatra,github.com/go-go-golems/cliopatra,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
codex-sessions,github.com/go-go-golems/codex-session,glazed,github.com/go-go-golems/glazed,v1.0.4,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
codex-sessions,github.com/go-go-golems/codex-session,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
common-sense,github.com/go-go-golems/common-sense,glazed,github.com/go-go-golems/glazed,v0.4.12,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
cozodb-goja,github.com/go-go-golems/cozodb-goja,glazed,github.com/go-go-golems/glazed,v1.0.1,1,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
cozodb-goja,github.com/go-go-golems/cozodb-goja,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
cozodb-goja,github.com/go-go-golems/cozodb-goja,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
css-visual-diff,github.com/go-go-golems/css-visual-diff,geppetto,github.com/go-go-golems/geppetto,v0.12.2,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
css-visual-diff,github.com/go-go-golems/css-visual-diff,glazed,github.com/go-go-golems/glazed,v1.3.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
css-visual-diff,github.com/go-go-golems/css-visual-diff,go-go-goja,github.com/go-go-golems/go-go-goja,v0.7.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
css-visual-diff,github.com/go-go-golems/css-visual-diff,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
css-visual-diff,github.com/go-go-golems/css-visual-diff,pinocchio,github.com/go-go-golems/pinocchio,v0.10.29,0,,1,planned,B5,,,v0.11.0,"go.mod require",2026-05-29T17:32:01+00:00
devctl,github.com/go-go-golems/devctl,glazed,github.com/go-go-golems/glazed,v1.2.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
devctl,github.com/go-go-golems/devctl,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
discord-bot,github.com/go-go-golems/discord-bot,glazed,github.com/go-go-golems/glazed,v1.3.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
discord-bot,github.com/go-go-golems/discord-bot,go-go-goja,github.com/go-go-golems/go-go-goja,v0.7.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
discord-bot,github.com/go-go-golems/discord-bot,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
dmeta,github.com/go-go-golems/dmeta,glazed,github.com/go-go-golems/glazed,v0.0.0,0,../glazed,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
dmeta,github.com/go-go-golems/dmeta,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
docmgr,github.com/go-go-golems/docmgr,glazed,github.com/go-go-golems/glazed,v1.0.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
docmgr,github.com/go-go-golems/docmgr,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
ecrivain,github.com/go-go-golems/ecrivain,clay,github.com/go-go-golems/clay,v0.0.23,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
ecrivain,github.com/go-go-golems/ecrivain,glazed,github.com/go-go-golems/glazed,v0.4.12,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
escuse-me,github.com/go-go-golems/escuse-me,clay,github.com/go-go-golems/clay,v0.1.41,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
escuse-me,github.com/go-go-golems/escuse-me,geppetto,github.com/go-go-golems/geppetto,v0.4.54,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
escuse-me,github.com/go-go-golems/escuse-me,glazed,github.com/go-go-golems/glazed,v0.6.9,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
escuse-me,github.com/go-go-golems/escuse-me,go-emrichen,github.com/go-go-golems/go-emrichen,v0.0.10,0,,1,main_actions_verified,B4,,,v0.0.10,"go.mod require",2026-05-29T17:32:01+00:00
escuse-me,github.com/go-go-golems/escuse-me,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
escuse-me,github.com/go-go-golems/escuse-me,parka,github.com/go-go-golems/parka,v0.5.28,0,,1,main_actions_verified,B4,v0.6.2,,v0.6.2,"go.mod require",2026-05-29T17:32:01+00:00
esper,github.com/go-go-golems/esper,glazed,github.com/go-go-golems/glazed,v0.7.14,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
esper,github.com/go-go-golems/esper,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
font-util,github.com/go-go-golems/font-util,glazed,github.com/go-go-golems/glazed,v1.2.14,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
font-util,github.com/go-go-golems/font-util,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
form-generator,github.com/go-go-golems/form-generator,clay,github.com/go-go-golems/clay,v0.2.0,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
form-generator,github.com/go-go-golems/form-generator,glazed,github.com/go-go-golems/glazed,v0.7.3,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
form-generator,github.com/go-go-golems/form-generator,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
form-generator,github.com/go-go-golems/form-generator,sqleton,github.com/go-go-golems/sqleton,v0.3.4,1,,1,main_actions_verified,B4,v0.4.5,,v0.4.5,"go.mod require",2026-05-29T17:32:01+00:00
form-generator,github.com/go-go-golems/form-generator,uhoh,github.com/go-go-golems/uhoh,v0.0.8,0,,1,main_actions_verified,B4,,,v0.0.8,"go.mod require",2026-05-29T17:32:01+00:00
geppetto,github.com/go-go-golems/geppetto,glazed,github.com/go-go-golems/glazed,v1.3.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
geppetto,github.com/go-go-golems/geppetto,go-emrichen,github.com/go-go-golems/go-emrichen,v0.0.10,0,,1,main_actions_verified,B4,,,v0.0.10,"go.mod require",2026-05-29T17:32:01+00:00
geppetto,github.com/go-go-golems/geppetto,go-go-goja,github.com/go-go-golems/go-go-goja,v0.7.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
geppetto,github.com/go-go-golems/geppetto,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
geppetto,github.com/go-go-golems/geppetto,sanitize,github.com/go-go-golems/sanitize,v0.0.1,0,,1,main_actions_verified,B1,v0.0.2,https://github.com/go-go-golems/sanitize/releases/tag/v0.0.2,v0.0.2,"go.mod require",2026-05-29T17:32:01+00:00
gitcommit,github.com/go-go-golems/gitcommit,glazed,github.com/go-go-golems/glazed,v0.7.6,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
gitcommit,github.com/go-go-golems/gitcommit,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
glazed,github.com/go-go-golems/glazed,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-emrichen,github.com/go-go-golems/go-emrichen,glazed,github.com/go-go-golems/glazed,v0.5.52,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-emrichen,github.com/go-go-golems/go-emrichen,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent,github.com/go-go-golems/go-go-agent,bobatea,github.com/go-go-golems/bobatea,v0.0.18,1,,1,main_actions_verified,B1,,,v0.1.5,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent,github.com/go-go-golems/go-go-agent,clay,github.com/go-go-golems/clay,v0.1.39,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent,github.com/go-go-golems/go-go-agent,geppetto,github.com/go-go-golems/geppetto,v0.4.50,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent,github.com/go-go-golems/go-go-agent,glazed,github.com/go-go-golems/glazed,v0.5.48,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent,github.com/go-go-golems/go-go-agent,go-emrichen,github.com/go-go-golems/go-emrichen,v0.0.7,0,,1,main_actions_verified,B4,,,v0.0.10,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent,github.com/go-go-golems/go-go-agent,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent,github.com/go-go-golems/go-go-agent,pinocchio,github.com/go-go-golems/pinocchio,v0.4.33,0,,1,planned,B5,,,v0.11.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-agent-action,github.com/go-go-golems/go-go-agent-action,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-arc-agi,github.com/go-go-golems/go-go-app-arc-agi,go-go-os-backend,github.com/go-go-golems/go-go-os-backend,v0.0.3,0,,1,main_actions_verified,B1,,,v0.0.5,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-arc-agi,github.com/go-go-golems/go-go-app-arc-agi,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,geppetto,github.com/go-go-golems/geppetto,v0.11.3,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,glazed,github.com/go-go-golems/glazed,v1.0.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.6,1,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,go-go-os-backend,github.com/go-go-golems/go-go-os-backend,v0.0.3,0,,1,main_actions_verified,B1,,,v0.0.5,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,go-go-os-chat,github.com/go-go-golems/go-go-os-chat,v0.0.1,0,,0,,,,,,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,pinocchio,github.com/go-go-golems/pinocchio,v0.10.10,0,,1,planned,B5,,,v0.11.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-inventory,github.com/go-go-golems/go-go-app-inventory,plz-confirm,github.com/go-go-golems/plz-confirm,v0.0.4,1,,1,main_actions_verified,B4,,,v0.0.4,"go.mod require",2026-05-29T17:32:01+00:00
go-go-app-sqlite,github.com/go-go-golems/go-go-app-sqlite,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-gepa,github.com/go-go-golems/go-go-gepa,clay,github.com/go-go-golems/clay,v0.4.0,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
go-go-gepa,github.com/go-go-golems/go-go-gepa,geppetto,github.com/go-go-golems/geppetto,v0.10.3,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
go-go-gepa,github.com/go-go-golems/go-go-gepa,glazed,github.com/go-go-golems/glazed,v1.0.4,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-go-gepa,github.com/go-go-golems/go-go-gepa,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-gepa,github.com/go-go-golems/go-go-gepa,go-go-os-backend,github.com/go-go-golems/go-go-os-backend,v0.0.3,0,,1,main_actions_verified,B1,,,v0.0.5,"go.mod require",2026-05-29T17:32:01+00:00
go-go-gepa,github.com/go-go-golems/go-go-gepa,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-goja,github.com/go-go-golems/go-go-goja,bobatea,github.com/go-go-golems/bobatea,v0.1.5,0,,1,main_actions_verified,B1,,,v0.1.5,"go.mod require",2026-05-29T17:32:01+00:00
go-go-goja,github.com/go-go-golems/go-go-goja,geppetto,github.com/go-go-golems/geppetto,v0.11.7,1,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
go-go-goja,github.com/go-go-golems/go-go-goja,glazed,github.com/go-go-golems/glazed,v1.3.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-go-goja,github.com/go-go-golems/go-go-goja,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-host,github.com/go-go-golems/go-go-host,glazed,github.com/go-go-golems/glazed,v1.2.7,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-go-host,github.com/go-go-golems/go-go-host,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.16,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-host,github.com/go-go-golems/go-go-host,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-mcp,github.com/go-go-golems/go-go-mcp,clay,github.com/go-go-golems/clay,v0.4.0,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
go-go-mcp,github.com/go-go-golems/go-go-mcp,geppetto,github.com/go-go-golems/geppetto,v0.10.17,0,,1,skipped,B4,,,v0.12.2,"go.mod require",2026-05-29T17:32:01+00:00
go-go-mcp,github.com/go-go-golems/go-go-mcp,glazed,github.com/go-go-golems/glazed,v1.0.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-go-mcp,github.com/go-go-golems/go-go-mcp,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-os-backend,github.com/go-go-golems/go-go-os-backend,go-go-goja,github.com/go-go-golems/go-go-goja,v0.4.2,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
go-go-os-backend,github.com/go-go-golems/go-go-os-backend,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-minitrace,github.com/go-go-golems/go-minitrace,clay,github.com/go-go-golems/clay,v0.4.11,0,,0,,,,,v0.4.11,"go.mod require",2026-05-29T17:32:01+00:00
go-minitrace,github.com/go-go-golems/go-minitrace,glazed,github.com/go-go-golems/glazed,v1.3.5,0,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
go-minitrace,github.com/go-go-golems/go-minitrace,go-go-goja,github.com/go-go-golems/go-go-goja,v0.7.0,0,,1,planned,B5,,,v0.7.0,"go.mod require",2026-05-29T17:32:01+00:00
go-minitrace,github.com/go-go-golems/go-minitrace,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
go-sqlite-regexp,github.com/go-go-golems/go-sqlite-regexp,logcopter,github.com/go-go-golems/logcopter,v0.1.0,0,,1,skipped,B1,,,v0.1.0,"go.mod require",2026-05-29T17:32:01+00:00
goja-git,github.com/go-go-golems/goja-git,glazed,github.com/go-go-golems/glazed,v1.3.5,1,,0,,,,,v1.3.6,"go.mod require",2026-05-29T17:32:01+00:00
